OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,Shape__Area,Shape__Length
59,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,d47d51d9-3d1a-496f-b70d-7a9984aa4b17,44,WORI,Lands - http://landsnet.nps.gov/tractsnet/documents/WORI/Metadata/wori_metadata.xml,Women's Rights National Historical Park,2011/08/19 00:00:00+00,NY,NE,1888975,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175720,Women's Rights,56856.828125,2486.26715960158
60,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,bf3e18ed-0fc1-4f50-8787-08888d412324,46,FRLA,Lands - http://landsnet.nps.gov/tractsnet/documents/FRLA/Metadata/frla_metadata.xml,Frederick Law Olmsted National Historic Site,2016/03/01 00:00:00+00,MA,NE,1971618,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229063,Frederick Law Olmsted,51737.26953125,1623.19685236484
61,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,b58e1c00-06ff-4793-bcf5-f9577850d6fd,47,KNRI,Lands - http://landsnet.nps.gov/tractsnet/documents/KNRI/Metadata/knri_metadata.xml,Knife River Indian Villages National Historic Site,2012/04/03 00:00:00+00,ND,MW,1888938,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2185777,Knife River Indian Villages,15618816.9375,27551.891876408
62,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,32b2a448-e63f-461e-9426-8c5185be4233,49,BADL,Lands - http://landsnet.nps.gov/tractsnet/documents/BADL/Metadata/badl_metadata.xml,Badlands National Park,2022/04/18 00:00:00+00,SD,MW,1265096,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224522,Badlands,1879080773.90625,549503.380513197
63,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,3b489394-8ccf-4b3f-a047-34f82f198037,50,BICA,Lands - http://landsnet.nps.gov/tractsnet/documents/BICA/Metadata/bica_metadata.xml,Bighorn Canyon National Recreation Area,2012/01/11 00:00:00+00,MT,IM,767934,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182227,Bighorn Canyon,974301199.597656,432691.097493006
64,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2544381a-b4a8-464e-81a9-bc5dc6602fb4,51,CANY,Lands - http://landsnet.nps.gov/tractsnet/documents/CANY/Metadata/cany_metadata.xml,Canyonlands National Park,2010/04/26 00:00:00+00,UT,IM,1448008,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165304,Canyonlands,2196490657.26953,353937.357319384
65,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,a63a24a5-ccc4-418e-ab55-d64a699e32f9,52,ARCH,Lands - http://landsnet.nps.gov/tractsnet/documents/ARCH/Metadata/arch_metadata.xml,Arches National Park,2018/04/09 00:00:00+00,UT,IM,1455716,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239940,Arches,509081047.472656,167803.693542866
66,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,ceec0f8f-8202-4af8-a972-7a47543818a8,53,NABR,Lands - http://landsnet.nps.gov/tractsnet/documents/NABR/Metadata/nabr_metadata.xml,Natural Bridges National Monument,2010/07/12 00:00:00+00,UT,IM,1454484,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166445,Natural Bridges,49150258.4101563,51685.5375099086
67,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,439fb052-aeff-4d39-87d8-84185233eba1,54,BLCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BLCA/Metadata/blca_metadata.xml,Black Canyon of the Gunnison National Park,2018/02/15 00:00:00+00,CO,IM,203271,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047909,Black Canyon of the Gunnison,207094307.710938,113089.80311464
68,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,479156d0-16f8-4c1a-a56c-fcf13a40c581,55,COLM,Lands - http://landsnet.nps.gov/tractsnet/documents/COLM/Metadata/colm_metadata.xml,Colorado National Monument,2016/04/01 00:00:00+00,CO,IM,202252,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2203268,Colorado,137403445.011719,82194.0943789699
69,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,c3fb3842-e90d-4c1c-8a99-dec356ac244b,56,CURE,Lands - http://landsnet.nps.gov/tractsnet/documents/CURE/Metadata/cure_metadata.xml,Curecanti National Recreation Area,2017/05/25 00:00:00+00,CO,IM,196412,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210701,Curecanti,273475556.316406,329290.012818828
70,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,c13586bd-c45d-4afe-8628-cc592237f3e6,57,LIBI,Lands - http://landsnet.nps.gov/tractsnet/documents/LIBI/Metadata/libi_metadata.xml,Little Bighorn Battlefield National Monument,2005/02/23 00:00:00+00,MT,IM,806297,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048009,Little Bighorn Battlefield,6437512.9609375,19524.580414683
71,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,a696d97b-96b3-4b75-be16-3cea0f5e592b,58,DETO,Lands - http://landsnet.nps.gov/tractsnet/documents/DETO/Metadata/deto_metadata.xml,Devils Tower National Monument,2014/12/08 00:00:00+00,WY,IM,2733421,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2220218,Devils Tower,10774321.3945313,15024.9283481147
72,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,f8990af9-c12c-45f6-97b7-acee1c5dad62,59,DINO,Lands - http://landsnet.nps.gov/tractsnet/documents/DINO/Metadata/dino_metadata.xml,Dinosaur National Monument,2020/12/16 00:00:00+00,CO,IM,169567,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223241,Dinosaur,1481170408.98047,529864.172647334
73,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,6283db33-9b51-4142-985d-4ea193a1a757,60,FOLA,Lands - http://landsnet.nps.gov/tractsnet/documents/FOLA/Metadata/fola_metadata.xml,Fort Laramie National Historic Site,2018/04/09 00:00:00+00,WY,IM,1597073,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196718,Fort Laramie,6622287.37890625,15922.1645680694
74,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,6d3a7d08-2fd9-469c-bdbd-7a1d8e6d13bf,61,GLAC,Lands - http://landsnet.nps.gov/tractsnet/documents/GLAC/Metadata/glac_metadata.xml,Glacier National Park,2017/08/18 00:00:00+00,MT,IM,1803454,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230264,Glacier,9351571346.78906,506613.470604647
75,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,1a05aefb-0f6d-4cf6-9dbb-83db7a513074,62,GLCA,Lands - http://landsnet.nps.gov/tractsnet/documents/GLCA/Metadata/glca_metadata.xml,Glen Canyon National Recreation Area,2022/04/22 00:00:00+00,AZ,IM,23865,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2209616,Glen Canyon,8057114941.10547,2069791.74579042
76,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,205f9dbf-4b97-43d9-8d74-1162fb3769b9,63,RABR,Lands - http://landsnet.nps.gov/tractsnet/documents/RABR/Metadata/rabr_metadata.xml,Rainbow Bridge National Monument,2010/03/29 00:00:00+00,UT,IM,23944,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166457,Rainbow Bridge,1018636.9765625,4037.10960113808
77,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,1a06faab-a456-450f-aab2-43521788064b,64,GOSP,Lands - http://landsnet.nps.gov/tractsnet/documents/GOSP/Metadata/gosp_metadata.xml,Golden Spike National Historical Park,2011/02/17 00:00:00+00,UT,IM,1428242,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175723,Golden Spike,19348834.8085938,73082.5356487581
78,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,edce37e5-e954-4fc5-ba2f-3c18db898e69,65,GRTE,Lands - http://landsnet.nps.gov/tractsnet/documents/GRTE/Metadata/grte_metadata.xml,Grand Teton National Park,2022/03/02 00:00:00+00,WY,IM,1597571,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047976,Grand Teton,2410496678.89453,351764.858942954
79,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,5b1485bc-3b1f-4cad-a3cf-8c5f2d1adae6,66,SAND,Lands - http://landsnet.nps.gov/tractsnet/documents/SAND/Metadata/sand_metadata.xml,Sand Creek Massacre National Historic Site,2012/03/04 00:00:00+00,CO,IM,2127375,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2185781,Sand Creek Massacre,83063902.2148438,41111.1733855453
80,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,944aa391-c972-43a0-9505-6e2e326232d5,67,GRSA,Lands - http://landsnet.nps.gov/tractsnet/documents/GRSA/Metadata/grsa_metadata.xml,Great Sand Dunes National Park,2022/02/01 00:00:00+00,CO,IM,2733443,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194474,Great Sand Dunes,698046849.429688,125685.107292617
81,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,9f11f84e-8411-4dc4-885a-425cd3cb3df3,68,GRSA,Lands - http://landsnet.nps.gov/tractsnet/documents/GRSA/Metadata/grsa_metadata.xml,Great Sand Dunes National Preserve,2022/02/01 00:00:00+00,CO,IM,2733443,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194474,Great Sand Dunes,270940284.488281,108346.563271744
82,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,a17182ed-bdd1-4a30-afe2-fe35629b8a38,69,JODR,Lands - http://landsnet.nps.gov/tractsnet/documents/JODR/Metadata/jodr_metadata.xml,"John D. Rockefeller, Jr., Memorial Parkway",2008/04/14 00:00:00+00,WY,IM,1604577,Parkway,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048169,John D Rockefeller Jr,185341715.363281,58880.6056721006
83,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,3f07c08f-230e-4708-9475-a294877bb48e,70,FOBU,Lands - http://landsnet.nps.gov/tractsnet/documents/FOBU/Metadata/fobu_metadata.xml,Fossil Butte National Monument,2007/02/22 00:00:00+00,WY,IM,1605065,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047959,Fossil Butte,60721809.9921875,44607.2126112168
84,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,ee92f3e5-7c53-42e3-a8aa-856579a5d59f,71,MEVE,Lands - http://landsnet.nps.gov/tractsnet/documents/MEVE/Metadata/meve_metadata.xml,Mesa Verde National Park,2021/03/08 00:00:00+00,CO,IM,179042,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048549,Mesa Verde,343422764.242188,102110.746026484
85,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,0ffcdc67-a2d0-4b49-8bdf-10a25bc6d207,72,HOVE,Lands - http://landsnet.nps.gov/tractsnet/documents/HOVE/Metadata/hove_metadata.xml,Hovenweep National Monument,2007/04/06 00:00:00+00,CO,IM,202599,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047986,Hovenweep,5195288.90625,21091.6310250476
86,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,5ffdb0b8-4acc-4d91-bcab-0e1eb556093e,73,YUHO,Lands - http://landsnet.nps.gov/tractsnet/documents/YUHO/Metadata/yuho_metadata.xml,Yucca House National Monument,2020/12/17 00:00:00+00,CO,IM,202628,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048070,Yucca House,227843.453125,3918.28593400403
87,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,b716a602-ba73-4dac-8979-86fa50aab548,74,MNRR,Lands - http://landsnet.nps.gov/tractsnet/documents/MNRR/Metadata/mnrr_metadata.xml,Missouri National Recreational River,2020/01/10 00:00:00+00,NE,MW,2733411,National Wild & Scenic River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2242151,Missouri,514001422.070313,637595.077114869
88,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,99d4b7c8-ce77-462e-a778-4524034748bb,75,MORU,Lands - http://landsnet.nps.gov/tractsnet/documents/MORU/Metadata/moru_metadata.xml,Mount Rushmore National Memorial,2010/12/13 00:00:00+00,SD,MW,1262098,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2167739,Mount Rushmore,9923432.10546875,17217.214232035
89,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,436c488b-2483-46f7-9b95-c801ac542651,76,ROMO,Lands - http://landsnet.nps.gov/tractsnet/documents/ROMO/Metadata/romo_metadata.xml,Rocky Mountain National Park,2022/02/18 00:00:00+00,CO,IM,204948,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2209626,Rocky Mountain,1863155655.44141,297478.623272084
90,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2e42c6f7-0136-4998-be95-a89ed622a578,77,BEOL,Lands - http://landsnet.nps.gov/tractsnet/documents/BEOL/Metadata/beol_metadata.xml,Bent's Old Fort National Historic Site,2020/09/22 00:00:00+00,CO,IM,2559483,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166446,Bent's Old Fort,5420545.25390625,10127.9306482641
91,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,5815222d-1352-4388-b668-8932ad42c2b9,78,FLFO,Lands - http://landsnet.nps.gov/tractsnet/documents/FLFO/Metadata/flfo_metadata.xml,Florissant Fossil Beds National Monument,2021/03/22 00:00:00+00,CO,IM,191398,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047956,Florissant Fossil Beds,41975465.0546875,38025.6702320753
92,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,27c091b9-2837-4d92-9c20-276cc4c13adc,79,BRCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BRCA/Metadata/brca_metadata.xml,Bryce Canyon National Park,2008/03/27 00:00:00+00,UT,IM,1450197,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047913,Bryce Canyon,232305570.917969,127086.20689518
93,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,3c1aa76b-89ec-4868-bd03-fd6cdee1e23b,80,CARE,Lands - http://landsnet.nps.gov/tractsnet/documents/CARE/Metadata/care_metadata.xml,Capitol Reef National Park,2022/04/22 00:00:00+00,UT,IM,1434866,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2192759,Capitol Reef,1605721878.80859,405759.386888086
94,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,218ea0b3-4048-4ecf-be45-342e1a157894,81,CEBR,Lands - http://landsnet.nps.gov/tractsnet/documents/CEBR/Metadata/cebr_metadata.xml,Cedar Breaks National Monument,2018/05/04 00:00:00+00,UT,IM,1439558,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047930,Cedar Breaks,39592554.8359375,27322.5961301499
95,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,248c633f-fabb-46be-a104-6da1659cc175,82,PISP,Lands - http://landsnet.nps.gov/tractsnet/documents/PISP/Metadata/pisp_metadata.xml,Pipe Spring National Monument,2006/12/07 00:00:00+00,AZ,IM,9526,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048036,Pipe Spring,252896.6953125,2011.56579428876
96,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,67ba9374-9ef5-47ea-9a16-2cc50e019818,83,ZION,Lands - http://landsnet.nps.gov/tractsnet/documents/ZION/Metadata/zion_metadata.xml,Zion National Park,2017/06/22 00:00:00+00,UT,IM,1455157,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181118,Zion,952718697.875,206587.713070119
97,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,280db090-f49c-4546-9357-51c808759450,84,THRO,Lands - http://landsnet.nps.gov/tractsnet/documents/THRO/Metadata/thro_metadata.xml,Theodore Roosevelt National Park,2017/04/27 00:00:00+00,ND,MW,1033824,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196728,Theodore Roosevelt,616847538.84375,187232.144032441
98,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,38127cfb-ea94-4dfc-9980-4c0a163cd6bb,85,FOUS,Lands - http://landsnet.nps.gov/tractsnet/documents/FOUS/Metadata/fous_metadata.xml,Fort Union Trading Post National Historic Site,2018/07/24 00:00:00+00,MT,MW,771520,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225692,Fort Union Trading Post,4006610.296875,24728.704414578
99,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,b75ed344-54f7-483b-aee1-5e1ea27ddc08,86,TICA,Lands - http://landsnet.nps.gov/tractsnet/documents/TICA/Metadata/tica_metadata.xml,Timpanogos Cave National Monument,2005/04/14 00:00:00+00,UT,IM,1446610,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239937,Timpanogos Cave,1747594.640625,5287.85950255729
100,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,f3e00274-5667-423e-9b04-eff267588bff,87,WICA,Lands - http://landsnet.nps.gov/tractsnet/documents/WICA/Metadata/wica_metadata.xml,Wind Cave National Park,2016/04/19 00:00:00+00,SD,MW,1263056,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239942,Wind Cave,261727427.128906,90671.8054647478
101,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,8a4e663a-5a92-4437-a972-af1716a02157,88,JECA,Lands - http://landsnet.nps.gov/tractsnet/documents/JECA/Metadata/jeca_metadata.xml,Jewel Cave National Monument,2010/07/22 00:00:00+00,SD,MW,1261888,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165329,Jewel Cave,9873220.8125,13690.5245200034
102,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,3b7de66b-d45f-4f2c-936d-dc65cebf8644,89,YELL,Lands - http://landsnet.nps.gov/tractsnet/documents/YELL/Metadata/yell_metadata.xml,Yellowstone National Park,2008/04/23 00:00:00+00,ID,IM,1609331,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048199,Yellowstone,17557091584.668,674249.706087327
103,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,db42e4f4-8a93-4e0e-a526-23fcdf845f12,90,BIHO,Lands - http://landsnet.nps.gov/tractsnet/documents/BIHO/Metadata/biho_metadata.xml,Big Hole National Battlefield,2015/11/06 00:00:00+00,MT,PW,779820,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225687,Big Hole,8092192.03125,12680.0444513591
104,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,91e56330-5619-44ff-a6ff-f0954a99c285,91,GRKO,Lands - http://landsnet.nps.gov/tractsnet/documents/GRKO/Metadata/grko_metadata.xml,Grant-Kohrs Ranch National Historic Site,2017/11/30 00:00:00+00,MT,IM,806847,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2220223,Grant-Kohrs Ranch,13410009.5,20573.5545039801
105,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,e107e0ea-2a04-4a3a-a3c8-20f232ad8853,93,CLBA,Lands - http://landsnet.nps.gov/tractsnet/documents/CLBA/Metadata/clba_metadata.xml,Clara Barton National Historic Site,2008/11/17 00:00:00+00,MD,NC,2733426,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048149,Clara Barton,55817.25,1017.11159189941
106,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,59517b5e-5863-4a4d-962d-f29c615cd846,94,BEPA,Lands - http://landsnet.nps.gov/tractsnet/documents/BEPA/Metadata/bepa_metadata.xml,Belmont-Paul Women's Equality National Monument,2016/09/13 00:00:00+00,DC,NC,2781517,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2235426,Belmont-Paul Women's Equality,2306.4609375,192.515500185095
107,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,1cf431c9-4e6d-4379-b25c-c25eb3faff38,95,FOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/FOWA/Metadata/fowa_metadata.xml,Fort Washington Park,2021/09/15 00:00:00+00,MD,NC,597426,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048158,Fort Washington,2290208.5703125,7262.98532230912
108,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,01533974-e4f8-4f09-b0fd-313b21159574,96,LYBA,Lands - http://landsnet.nps.gov/tractsnet/documents/LYBA/Metadata/lyba_metadata.xml,Lyndon Baines Johnson Memorial Grove on the Potomac,2020/05/20 00:00:00+00,DC,NC,530776,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048177,Lyndon Baines Johnson Memorial Grove,120867.49609375,2032.37385448097
109,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,d66bc6c7-769e-48bc-94aa-25844e13e833,97,MALL,Lands - http://landsnet.nps.gov/tractsnet/documents/MALL/Metadata/mall_metadata.xml,National Mall,2011/10/06 00:00:00+00,DC,NC,2733438,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181133,National Mall,1154397.6953125,5178.95291391885
110,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,52cceaee-92af-46f6-9455-f24fcc264215,98,GREE,Lands - http://landsnet.nps.gov/tractsnet/documents/GREE/Metadata/gree_metadata.xml,Greenbelt Park,2021/03/03 00:00:00+00,MD,NC,597496,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048160,Greenbelt,7707043.5625,22476.1836868301
111,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,e32b9d77-048f-4130-998c-ff74fc622188,99,ROCR,Lands - http://landsnet.nps.gov/tractsnet/documents/ROCR/Metadata/rocr_metadata.xml,Rock Creek Park,2019/05/30 00:00:00+00,DC,NC,530563,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2244324,Rock Creek Park,11722714.7773438,26892.2786599303
112,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,57ee2bfe-c5fe-4800-98b8-ba530283fa4d,100,PAAV,Lands - http://landsnet.nps.gov/tractsnet/documents/PAAV/Metadata/paav_metadata.xml,Pennsylvania Avenue National Historic Site,2016/09/13 00:00:00+00,DC,NC,2733439,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208015,Pennsylvania Avenue,124211.7109375,10722.6309353039
113,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,da5c6020-17f2-403b-a48c-c95363866e0f,104,MABE,Lands - http://landsnet.nps.gov/tractsnet/documents/MABE/Metadata/mabe_metadata.xml,Mary McLeod Bethune Council House National Historic Site,2006/09/21 00:00:00+00,DC,NC,2733422,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048178,Mary McLeod Bethune Council House,532.55078125,130.842640261572
114,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,ecc252a9-71c0-4125-9cb2-866fc49a9e06,105,HAFE,Lands - http://landsnet.nps.gov/tractsnet/documents/HAFE/Metadata/hafe_metadata.xml,Harpers Ferry National Historical Park,2021/09/15 00:00:00+00,MD,NC,1556735,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048163,Harpers Ferry,25199536.9453125,131460.007302019
115,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,3cba916a-e652-4cb4-b9af-0377b9b13f69,106,CATO,Lands - http://landsnet.nps.gov/tractsnet/documents/CATO/Metadata/cato_metadata.xml,Catoctin Mountain Park,2022/01/26 00:00:00+00,MD,NC,583623,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166419,Catoctin Mountain,39359346.8046875,51486.9063252559
116,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,5cc18f16-ed34-480e-ad57-f8b36f685fc8,107,GWMP,Lands - http://landsnet.nps.gov/tractsnet/documents/GWMP/Metadata/gwmp_metadata.xml,George Washington Memorial Parkway,2022/09/12 13:07:25+00,MD,NC,584569,Parkway,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048162,George Washington,44538318.3046875,312034.562498614
